cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
high affinity,sequence_structure,cytotoxicity,clinical_outcome,increases,1,1,high,"high affinity to an EMP2 peptide, with the dissociation constant in the picomolar range.",39794935
in vivo pharmacokinetics,quality_attribute,tumor burden,clinical_outcome,decreases,1,1,medium,"GrB-Fc-KS49 showed efficacy against a TNBC syngeneic mouse model, reducing tumor volume.",39794935
charge variants,quality_attribute,efficacy,clinical_outcome,destabilizes,1,1,high,Charge variants are a major source of ADC variability with potential effects on efficacy and safety.,41747487
charge variants,quality_attribute,safety,clinical_outcome,destabilizes,1,1,high,Charge variants are a major source of ADC variability with potential effects on efficacy and safety.,41747487
post-translational modifications,sequence_structure,charge variants,quality_attribute,induces,1,1,medium,inherent the post-translational modifications and fragmentation profile of the monoclonal antibody drove ADC charge vari,41747487
fragmentation,sequence_structure,charge variants,quality_attribute,induces,1,1,medium,inherent the post-translational modifications and fragmentation profile of the monoclonal antibody drove ADC charge vari,41747487
conjugation,sequence_structure,charge variants,quality_attribute,induces,1,1,medium,conjugation properties... drove ADC charge variants.,41747487
drug-antibody ratio,formulation_factor,charge variants,quality_attribute,induces,1,1,medium,drug-to-antibody ratio (DAR)... drove ADC charge variants.,41747487
DART proteins,sequence_structure,potent cytotoxicity,clinical_outcome,induces,1,1,high,"DART molecules demonstrated extremely potent, dose-dependent cytotoxicity.",20382161
position isomers,sequence_structure,charge variants,quality_attribute,induces,1,1,medium,position isomers... drove ADC charge variants.,41747487
tau measurements,quality_attribute,diagnosis,clinical_outcome,promotes,1,1,high,Tau measurements in cerebrospinal fluid (CSF) are gaining acceptance as aids to diagnosis of Alzheimer's disease (AD)...,21694458
validation of ELISA,quality_attribute,regulatory standards,quality_attribute,requires,1,1,high,Two ELISA assays...have been validated to regulatory standards.,21694458
tau stability,quality_attribute,freeze-thaw cycles,stress_condition,requires,1,1,high,Stability of t-tau and p-tau181 was demonstrated in CSF during five freeze-thaw cycles...,21694458
semagacestat treatment,formulation_factor,tau concentrations,quality_attribute,destabilizes,1,1,medium,No effect of treatment with semagacestat or solanezumab was observed in response to three months of drug administration.,21694458
solanezumab,formulation_factor,tau concentrations,quality_attribute,destabilizes,1,1,medium,No effect of treatment with semagacestat or solanezumab was observed in response to three months of drug administration.,21694458
incubation at 37 C,stress_condition,yield,quality_attribute,increases,1,1,high,The yield of tetramers could be increased by incubation of the antibody mixture for several hours at 37 degrees C.,1697645
F(ab')2,sequence_structure,purified antibodies,quality_attribute,induces,1,1,medium,Purified bispecific antibody complexes of mouse IgG1 anti-CD34 cross-linked to mouse IgG1 anti-desferal with F(ab')2 rat,1697645
DAR distribution,formulation_factor,charge variants,quality_attribute,induces,1,1,medium,DAR distribution... drove ADC charge variants.,41747487
novel trypsin,formulation_factor,autoproteolysis,degradation_pathway,decreases,1,1,high,had negligible level of autoproteolysis.,38520959
novel trypsin,formulation_factor,high activity,quality_attribute,stabilizes,1,1,high,maintained high activity over the course of digestion reaction.,38520959
novel trypsin properties,formulation_factor,proteolytic resistance,sequence_structure,induces,1,1,medium,established the application for use of large trypsin quantities to digest proteolytically resistant protein sites.,38520959
trypsin mix,formulation_factor,non-specific cleavage,degradation_pathway,prevents,1,1,high,showed elimination of non-specific cleavages observed in the digests with the commonly used trypsins.,38520959
improved features,formulation_factor,non-enzymatic analysis,quality_attribute,promotes,1,1,high,allowed us to establish the method for accurate and efficient non-enzymatic PTM analysis in biotherapeutic proteins.,38520959
increased Fe concentration,formulation_factor,protein aggregate formation,degradation_pathway,promotes,1,1,high,"We detected an increase in the formation of DOPA, protein aggregates, and fragments with increasing concentrations of ad",41776150
light exposure,stress_condition,protein aggregate formation,degradation_pathway,induces,1,1,high,"We demonstrated the oxidation of Tyr, His, Cys, and Trp residues, the formation of aggregation and degradation products.",41776150
addition of EDTA,formulation_factor,degradation protection,quality_attribute,stabilizes,1,1,medium,The addition of EDTA or DTPA showed a significant protection against degradation.,41776150
GrB activity,sequence_structure,cytotoxicity,clinical_outcome,increases,1,1,high,"GrB-Fc-KS49 exhibited comparable GrB enzymatic activity to commercial GrB, as well as high affinity to an EMP2 peptide.",39794935
callyspongiolide,formulation_factor,dysfunction,clinical_outcome,induces,1,1,high,callyspongiolide induces mitochondrial/lysosomal dysfunction and autophagy inhibition.,34556786
lysosomal dysfunction,degradation_pathway,cellular iron depletion,degradation_pathway,induces,1,1,high,"callyspongiolide causes lysosomal dysfunction, which induces cellular iron depletion.",34556786
iron depletion,degradation_pathway,dysfunction,clinical_outcome,induces,1,1,high,cellular iron depletion and leads to mitochondrial dysfunction.,34556786
mitochondrial dysfunction,clinical_outcome,cytotoxicity,clinical_outcome,induces,1,1,high,leads to mitochondrial dysfunction and subsequent cytotoxicity.,34556786
lysosomal deacidification,degradation_pathway,cellular iron depletion,degradation_pathway,induces,1,1,medium,induction of mitochondrial dysfunction through cellular iron depletion caused by lysosomal deacidification.,34556786
GrB-Fc-KS49,sequence_structure,tumor volume,clinical_outcome,decreases,1,1,high,"GrB-Fc-KS49 showed efficacy against a TNBC syngeneic mouse model, reducing tumor volume.",39794935
GrB-Fc-KS49,sequence_structure,cell proliferation,clinical_outcome,decreases,1,1,high,"GrB-Fc-KS49 showed efficacy against a TNBC syngeneic mouse model, reducing tumor volume and cell proliferation.",39794935
GrB-Fc-KS49,sequence_structure,tumor-infiltrating cells,clinical_outcome,increases,1,1,high,GrB-Fc-KS49 treatment also resulted in a dramatic increase of tumor-infiltrating CD45+ cells.,39794935
GrB-Fc-KS49,sequence_structure,tumor-associated macrophages,clinical_outcome,modifies,1,1,medium,redistribution of tumor-associated macrophages.,39794935
photo-Fenton reaction,formulation_factor,IgG2 modification,sequence_structure,modifies,1,1,high,IgG2 was significantly modified by the photo-Fenton reaction in citrate buffer.,41776150
novel evaluation parameters,formulation_factor,robust particle quantification,quality_attribute,promotes,1,1,medium,to showcase the use of additional reporting parameters to shift focus to more robustly-identified and quantified larger ,40675331
PCSK9 inhibition,formulation_factor,gliadin allergy symptoms,clinical_outcome,prevents,1,1,high,PCSK9 inhibition protected mice against symptoms of gliadin-induced-food allergy.,38471633
PCSK9 deficiency,sequence_structure,gliadin allergy symptoms,clinical_outcome,prevents,1,1,high,Pcsk9 deficiency...protected mice against symptoms of gliadin-induced-food allergy.,38471633
PCSK9 variant,sequence_structure,mature dendritic cells percentage,quality_attribute,increases,1,1,high,recombinant gain of function PCSK9 (PCSK9 D374Y) increased the percentage of mature bone marrow derived dendritic cells.,38471633
PCSK9 variant,sequence_structure,naive T cell proliferation,quality_attribute,promotes,1,1,high,PCSK9 D374Y...promoted nave T cell proliferation.,38471633
PCSK9 variant,sequence_structure,basophils degranulation,quality_attribute,increases,1,1,high,PCSK9 D374Y...potentiated the gliadin induced basophils degranulation.,38471633
centromeric transcription,sequence_structure,incorporation,sequence_structure,requires,1,1,high,Centromeric transcription is required for stable incorporation of the centromere-specific histone dCENP-A.,32522980
Spt6,sequence_structure,loss of nucleosomes,sequence_structure,prevents,1,1,high,Spt6... prevents the loss of old CENP-A nucleosomes.,32522980
dithiothreitol treatment,formulation_factor,disulfide bond cleavage,degradation_pathway,induces,1,1,medium,selectively eluted by treatment with dithiothreitol resulting in reductive cleavage of the disulfide bonds.,1697645
Spt6,sequence_structure,long-term stability,quality_attribute,stabilizes,1,1,high,Spt6 acts as a conserved CENP-A maintenance factor that ensures long-term stability of epigenetic centromere identity.,32522980
nature,sequence_structure,instability,quality_attribute,destabilizes,1,1,high,Monoclonal antibodies (mAbs) are subject to instability issues linked to their protein nature.,31465737
temperature,stress_condition,instability,quality_attribute,destabilizes,1,1,medium,"parameters, and conditions affecting their stability (protein structure and concentration, temperature, interfaces, ligh",31465737
light exposure,stress_condition,instability,quality_attribute,destabilizes,1,1,medium,"parameters, and conditions affecting their stability (protein structure and concentration, temperature, interfaces, ligh",31465737
